46,"The Adventures of Batman & Robin",Steelfury,2116,"Strategy RPG",14,45697
47,"Adventures of Lolo",Morin,2067,"Simulator",6,7610
48,"Adventures of Poco Eco: Lost Sounds",Balladomeena,2087,"Arcade sport",12,99655
49,"Adventures of Sherlock Holmes.",Faerisar,2070,"God sim",18,17581
50,"The Adventures of Tintin: Secret of the Unicorn",Nikorr,2101,"Artillery game",6,180
51,"Aerial Assault",Arcaneworm,2063,"Turn-based tactic",14,33548
52,"Aero the Acro-Bat",Beazetus,2047,"Match 3",21,52231
53,"Aero the Acro-Bat 2",Buridred,2030,"Management simulation",12,64190
54,"Aerobiz",Nalmelas,2033,"FPS",12,3904
55,"Aerobiz Supersonic",Ballasida,2081,"Role-playing",18,58552
56,"Affected Zone Tactics",Kigashura,2100,"Intellectual game",0,81128
57,"After Burner",Joron,2091,"Pinball",18,66761
58,"After Burner Climax",Tesho,2114,"Strategy RPG",21,5544
59,"After Burner II",Sterndweller,2095,"Dating Sim",0,5976
60,"After Burner III",Mudi,2102,"Hero",21,80193
61,"After Burner: Black Falcon",Voodoolkis,2057,"Artipicial Life game",0,94621
62,"After the End: Forsaken Destiny",Mazulmaran,2078,"Building",21,6647
63,"Afterfall: Insanity",Opilen,2084,"OldSchool Action",14,36586
64,"Afterlife",Bludwing,2070,"MMOFPS",14,33934
65,"Afterparty  ",Lairdana,2048,"Medetative",14,86103
66,"Against Rome",Lightfire,2058,"Simulation racer",6,71979
67,"Agar.io",Shaktiran,2107,"Simulator",14,83844
68,"Agartha  ",Zolotaxe,2049,"Turn-based strategy",6,26115
69,"Agatha Christie: And Then There Were None",Anaragda,2082,"Platformer 2D",0,15582
70,"Agatha Christie: Evil Under the Sun",Runesmith,2095,"Open world",18,14065
71,"Agatha Christie: Murder on the Orient Express",Kim,2058,"Global Strategy",6,13517
72,"Age of Ascent",Nalmelas,2059,"Competitive",6,94306
73,"Age of Chivalry",Nazel,2081,"JRPG",21,54821
74,"Age of Conan: Unchained",Agagelv,2022,"Technical Combat",21,28340
75,"Age of Empires",Morin,2050,"Family",21,50144
76,"Age of Empires II: Definitive Edition",Anaragda,2033,"Combat",12,44290
77,"Age of Empires II: HD Edition",Ironmaster,2021,"Cardgame",18,58137
78,"Age of Empires II: The Age of Kings",Zolotaxe,2051,"Open Action",12,9287
79,"Age of Empires II: The Conquerors",Morin,2091,"Visual novel",14,45991
80,"Age of Empires III",Malalace,2003,"Death Racing",18,65783
81,"Age of Empires III: The Asian Dynasties",Periris,2018,"Singlplayer",6,72164
82,"Age of Empires III: The WarChiefs",Arcaneworm,2100,"Co-op",18,34821
83,"Age of Empires IV",Ianlune,2060,"Dungeon crawl",21,41486
84,"Age of Empires Online",Kerad,2113,"Music game",14,68850
85,"Age of Empires: Mythologies",Moogurr,2067,"Sandbox",12,8995
86,"Age of Empires: The Age of Kings",Opiril,2023,"Turn-based strategy",12,38533
87,"Age of Empires: The Rise of Rome",Stonecrusher,2033,"Zen",14,18012
88,"Age of Mythology",Malagar,2042,"Stealth-Action",14,99127
89,"Age of Mythology: The Titans",Kajisida,2102,"Manager",21,6547
90,"Age of Wonders",Dorizel,2120,"Tactic",14,70557
91,"Age of Wonders ",Monadar,2080,"CRPG",12,54152
92,"Age of Wonders II: The Wizard’s Throne",Ironfist,2067,"Self improvment games",6,93133
93,"Age of Wonders III",Dianadar,2046,"Quest",21,84092
94,"Age of Wonders: Planetfall",JoJorg,2042,"Espionage",0,26402
95,"Age of Wonders: Shadow Magic",Bludfont,2101,"Fighting",6,24947
96,"Agent",Yorr,2117,"Vehicle simulation",6,17167
97,"Agent A",Anamath,2050,"Multi User Dungeon",6,62441
98,"Agents of Mayhem",Tabei,2047,"Stealth-Action",21,38227
99,"Agony",Doomstone,2106,"Driving",6,77080
100,"Aion",Kim,2116,"Real-time strategy",21,97953
101,"AionGuard",Brazil,2116,"Tactic PRG",12,50636
102,"Air",Dorizel,2050,"Acrcade",12,24454
103,"Air Buster",Ianzius,2116,"MMORPG",18,74751
104,"Air Conflicts",Snowworker,2003,"Casual game",18,20176
105,"Air Fortress",Ballath,2113,"Classic Quest",14,20007
106,"AirCars",Anargas,2017,"Quest",18,32081
107,"Airport Tycoon 3",Melar,2112,"Combat",18,85141
108,"Akai Ito",Stoneray,2023,"Third-person shooter",0,48015
109,"Akalabeth: World of Doom",Runefire,2030,"Action",14,60306
110,"Akaneiro ni Somaru Saka",Moranin,2091,"Crawler",6,47479
111,"Akira  ",Voodoolkis,2070,"Run and gun",12,1438
112,"Akumajou Special: Boku Dracula-kun",Brazil,2106,"Vehicle simulation",6,84629
113,"Aladdin’s Chess Adventures",Drelarus,2111,"Sport",0,65447
114,"Aladdin’s Magic Carpet Racing",Moogurr,2024,"CRPG",0,87078
115,"Alan Wake",Kaktilar,2036,"Acrcade",12,63752
116,"Alan Wake’s American Nightmare",JoJorg,2020,"Self improvment games",12,12835
117,"Albion Online",Andromagar,2117,"Role-playing",0,81850
118,"Alekhine’s Gun",Bolace,2047,"Third-person shooter",21,26445
119,"Alex Kidd BMX Trial",Kelenin,2015,"True RPG",6,86421
120,"Alex Kidd in Miracle World",Whiteseeker,2072,"God sim",18,1993
121,"Alex Kidd in Shinobi World",Auririm,2014,"Trivia game",12,2258
122,"Alex Kidd in the Enchanted Castle",Marindis,2007,"Browser-based",21,84448
123,"Alex Kidd: High-Tech World",Faerisar,2069,"Point & click adventure",14,41848
124,"Alex Kidd: The Lost Stars",Snowworker,2015,"Music game",6,4521
125,"Alexander  ",Dalanara,2101,"Maze",12,17865
126,"ALF  ",Bubandis,2078,"Classic Quest",21,41374
127,"Alfred Chicken",Doomstone,2096,"JRPG",14,2550
128,"Alias  ",Muni,2025,"Interactive fiction",0,26750
129,"Alice in Wonderland (   2010)",Kijinn,2038,"Novel",21,78331
130,"Alice: Madness Returns",Mudi,2021,"Technical Combat",0,84754
131,"Alien (   1982)",Kazrajar,2093,"Match 3",21,97378
132,"Alien (   1984)",Cordann,2115,"God sim",18,63565
133,"Alien 3 (   NES)",Brazil,2051,"Cardgame",18,97341
134,"Alien 3: The Gun",Ballath,2025,"Hentai",0,60602
135,"Alien Brigade",Kazahn,2071,"Trivia game",21,75311
136,"Alien Legacy",Nilalanim,2060,"Gamble",0,64443
137,"Alien Rage",Bolace,2108,"Zero Player Game",12,22736
138,"Alien Resurrection",Matus,2033,"Arcade",6,37308
139,"Alien Shooter",Rageeye,2057,"Rhythm game",21,3006
140,"Alien Shooter 2",Doomterror,2000,"Text adventure",21,93924
141,"Alien Shooter: Revisited",Saktilar,2043,"Dungeon crawl",6,96349
142,"Alien Soldier",Kathridred,2071,"Dangeon Crawler",18,1154
143,"Alien Swarm",Shaktiran,2001,"Strategy",18,38477
144,"Alien Trilogy",Faerisar,2081,"MOBA",6,89
145,"Alien vs Predator (Jaguar)",Nilalanim,2058,"Sim Strategy",12,1758
146,"Alien vs Predator (SNES)",Moogurr,2090,"God sim",18,304
147,"Alien vs Predator: The Last of His Clan",Runeconjuror,2108,"Survival horror",18,63812
148,"Alien: Isolation",Nuarne,2083,"RPG",12,66054
149,"Aliens versus Predator",Faerisar,2025,"Art game",18,62142
150,"Aliens versus Predator (   2010)",Nikorisar,2073,"Strategy",14,81477
151,"Aliens versus Predator 2",Dagdador,2059,"Computer Role-Playing Game",12,10537
152,"Aliens versus Predator 2: Primal Hunt",Anayarus,2013,"Multi User Dungeon",0,11180
153,"Aliens: Colonial Marines",Felhardana,2108,"City-building",14,78938
154,"Alisia Dragoon",Bolace,2079,"Combat",14,32898
155,"All New World of Lemmings",Wrathfang,2104,"Dangeon Crawler",14,86197
156,"All or Nothing  ",Nalmelas,2083,"Open world",12,34934
157,"All Points Bulletin",Dianadar,2065,"FPS",0,72321
158,"All Star Pro-Wrestling",Nilalanim,2046,"Toure",14,42639
159,"Alley Cat",Nikoshura,2036,"Racing",18,98885
160,"Alliance of Valiant Arms",Cordann,2056,"Run and gun",21,20422
161,"Allied General",Kazishakar,2017,"Bullet Hell",18,87788
162,"Allison Road",Adoghma,2073,"Train simulation",18,27225
163,"Allison to Lillia",Anamath,2117,"Tactic PRG",14,38591
164,"Alone in the Dark (   1992)",Tojagal,2042,"Hentai",14,28139
165,"Alone in the Dark (   2008)",Migar,2095,"Action-adventure",14,8978
166,"Alone in the Dark 2",Dorizel,2107,"Browser-based",18,10256
167,"Alone in the Dark 3",Adonius,2051,"Turn-based tactic",14,33994
168,"Alone in the Dark: Illumination",Yggrin,2079,"Co-op",14,14995
169,"Alone in the Dark: The New Nightmare",Ianzius,2099,"Interactive fiction",21,20420
170,"Sid Meier’s Alpha Centauri",Kajisida,2106,"Turn-based tactic",14,59462
171,"Alpha Protocol",Daginn,2108,"Space sim",14,53620
172,"Alphaputt",Gavinrathis,2092,"Platformer 3D",21,37700
173,"Alpine Racer",Malajurus,2085,"Dating Sim",14,27294
174,"Alpine Racer 2",Auririm,2069,"Family",18,53443
175,"Alpine Racer 3",Ishnginn,2057,"Dungeon crawl",12,18004
176,"Alter Ego (   1986)",Shaliris,2072,"Virtual pet",14,45261
177,"Altered Beast",Runefire,2093,"Simulation racer",6,56164
178,"Alto Trek",Bralmaran,2010,"Crawler",12,33315
179,"Alto’s Adventure",Thetadora,2030,"MicroControl",12,13307
180,"Alundra",Tygrarana,2042,"Electronic sports",6,26047
181,"Alundra 2: A New Legend Begins",Zulkigul,2008,"Clicker",0,62436
182,"Amagami",Perdred,2039,"Runner",0,53898
183,"Amagon",Runeconjuror,2026,"Simulation racer",14,49141
184,"The Amazing Spider-Man (   2012)",Morluron,2000,"Economical",6,47620
185,"The Amazing Spider-Man vs. The Kingpin",Auririm,2051,"MicroControl",18,76541
186,"Amazon: Guardians of Eden",Starfire,2065,"Non-linear",6,76025
187,"America: No Peace Beyond the Line",Mazulmaran,2079,"Side-scroling shooter",18,1925
188,"America’s Army",Dagdawield,2005,"Run and gun",18,57715
189,"American McGee’s Alice",Zolotaxe,2008,"Technical Combat",6,92590
190,"American McGee’s Grimm",Shaktiran,2100,"Real-time tactic",18,15003
191,"American Truck Simulator",Kazrajar,2047,"Electronic sports",14,83758
192,"Amerzone",Saktilar,2072,"Arcade",0,73513
193,"Amnesia: A Machine for Pigs",Doomstaff,2089,"Browser RPG",21,37697
194,"Amnesia: The Dark Descent",Tagore,2047,"Side-scroling shooter",12,54555
195,"Among the Sleep",Tesho,2070,"Clicker",0,12721
196,"An American Tail.",Kazrajar,2082,"Non-linear",18,31566
197,"An Elder Scrolls Legend: Battlespire",Ballasida,2082,"Building",14,24095
198,"Baccano!",Kijinn,2080,"Hack & Slash",12,19744
199,"Back to the Future (   1985)",Thetadora,2065,"RTS",0,2128
200,"Back to the Future (   1989)",Conjurn,2034,"Family",14,25267
201,"Back to the Future II",Shaktiran,2009,"Fighting",12,58858
202,"Back to the Future II & III",Bolace,2057,"Contact",0,3896
203,"Back to the Future III",Mezirn,2029,"Mass action",0,33777
204,"Back to the Future: The Game",Tuhn,2048,"Racing",14,40159
205,"Back to the Future: The Game. Episode 1: It’s About Time",Akikus,2015,"Quest",12,19384
206,"Back to the Future: The Game. Episode 2: Get Tannen!",Malaswyn,2047,"Interactive Movie",14,17642
207,"Back to the Future: The Game. Episode 3: Citizen Brown",Ishnri,2020,"Tactic",6,68973
208,"Back to the Future: The Game. Episode 4: Double Visions",Zolotaxe,2056,"OldSchool Action",0,62605
209,"Back to the Future: The Game. Episode 5: Outatime",Morlumand,2052,"Dungeon crawl",6,15819
210,"Backbreaker  ",Balladomeena,2118,"Construction",6,20589
211,"Bad Day L.A.",Tenos,2016,"Simulation sport",21,52982
212,"Bad Day on the Midway",Arcaneworm,2045,"Family",14,31612
213,"Bad Mojo",Ironwing,2073,"Classic Quest",12,99833
214,"Bad Piggies",Kim,2110,"Browser-based",14,1265
215,"Bahamut Lagoon",Peginn,2004,"Manager",21,67436
216,"Baka to Test to Shoukanjuu",Adoghma,2034,"RPG",0,64924
217,"Baldi’s Basics in Education and Learning",Sinfire,2110,"Bullet Hell",14,39579
218,"Baldies",Doomterror,2042,"MMOFPS",0,50989
219,"Baldr Sky",Runesmith,2094,"Side-scroller",6,77206
220,"Baldur’s Gate",Lightfire,2096,"First-Person",12,35935
221,"Baldur’s Gate II: Enhanced Edition",Agardana,2054,"Fishing",18,6252
222,"Baldur’s Gate II: Shadows of Amn",Lightfire,2073,"Survival horror",6,15627
223,"Baldur’s Gate II: Throne of Bhaal",Bolace,2111,"Self improvment games",6,96746
224,"Baldur’s Gate III",Moogurr,2055,"Dangeon Crawler",14,58402
225,"Baldur’s Gate: Dark Alliance",Zolotaxe,2057,"Side-scroller",12,47250
226,"Baldur’s Gate: Dark Alliance II",Adonius,2009,"Multi User Dungeon",14,52112
227,"Baldur’s Gate: Enhanced Edition",Zolotaxe,2088,"MOBA",14,33660
228,"Baldur’s Gate: Siege of Dragonspear",Gardalabar,2006,"Family",21,57473
229,"Baldur’s Gate: Tales of the Sword Coast",Kijinn,2081,"Dangeon Crawler",21,27322
230,"The Ball",Siranius,2115,"Zen",0,51396
231,"Ballance",Kaktilar,2052,"Maze",12,3293
232,"Ballblazer",Snowseeker,2104,"Singlplayer",18,24646
233,"Balloon Fight",Alsariel,2050,"Art game",18,85257
234,"Band Hero",Granilanim,2048,"Stealth-Action",18,84289
235,"BanG Dream!",Mera,2095,"Grand strategy wargame",6,20970
236,"Banished",Joron,2023,"Hero",0,74380
237,"Banjo-Kazooie",Akikus,2016,"Side-scroller",14,85474
238,"Banjo-Kazooie: Nuts & Bolts",Mavejurus,2024,"Sport",14,71196
239,"Bank Panic",Bludwing,2076,"Space sim",14,13652
240,"The Banner Saga",Nikorisar,2027,"Interactive Movie",14,74566
241,"Barbarian",Ishnginn,2082,"Arcade sport",12,75998
242,"Barbarian: The Ultimate Warrior",Corius,2099,"Horror",14,43219
243,"The Bard’s Tale (1985)",Daimuro,2098,"Massive multiplayer online game",21,78027
244,"The Bard’s Tale (2004)",Dagdador,2093,"Gamble",12,87826
245,"Barkley Shut Up and Jam!",Basius,2057,"Self improvment games",18,22047
246,"Barnstorming",Meztidal,2066,"Hunting",6,2443
247,"Barnyard  ",Yorr,2038,"Browser-based",18,56879
248,"Bastion",Bludfont,2102,"Top Down Shooter",6,83624
249,"Batman ",JoJorg,2063,"Open RPG",14,51647
250,"Batman ",Agardana,2092,"Action-RPG",6,53047
251,"Batman (компьютерная    1989 Ocean)",Conjurn,2035,"Side-scroling shooter",12,77107
252,"Batman (NES)",Muni,2025,"Light gun",0,26359
253,"Batman (Sega Mega Drive)",Opiril,2041,"Artillery game",18,6588
254,"Batman & Robin  ",Sinfire,2076,"Rhythm game",0,87376
255,"Batman Begins  ",Yggrin,2029,"Browser RPG",6,10575
256,"Batman Beyond: Return of the Joker  ",Celmeena,2032,"Hidden object",0,83728
257,"Batman Forever  ",Rageeye,2016,"Survival",21,93574
258,"Batman Forever: The Arcade Game",Arcaneworm,2029,"Run and gun",14,67988
259,"Batman Returns (   Aspect)",Kerad,2040,"Sandbox",14,56158
260,"Batman Returns (   Konami)",Nazel,2092,"Side-scroller",18,36700
261,"Batman Returns (   Malibu Interactive)",Snowworker,2118,"Contact",12,61727
262,"Batman Returns (   Spirit of Discovery)",Conjurn,2071,"Fighting",14,62260
263,"Batman: Arkham Asylum",Tygrarana,2000,"Toure",14,48600
264,"Batman: Arkham City",Kazishakar,2110,"Hack & Slash",0,27873
265,"Batman: Arkham City Lockdown",Perilbine,2047,"Computer Role-Playing Game",6,91487
266,"Batman: Arkham Knight",Kazishakar,2117,"Zero Player Game",18,7092
267,"Batman: Arkham Origins",Dorizel,2037,"Spy",14,26195
268,"Batman: Arkham Origins Blackgate",Cenius,2070,"Simulator",0,98609
269,"Batman: Arkham VR",Nilalanim,2080,"Maze",12,21010
270,"Batman: Chaos in Gotham",Granilanim,2043,"Roguelike",18,64266
271,"Batman: Dark Tomorrow",Burilore,2113,"Dungeon crawl",0,65313
272,"Batman: Gotham City Racer",Voodoolkis,2106,"Massive multiplayer online game",14,5570
273,"Batman: Return of the Joker",Mavejurus,2080,"Shoot'em up",12,5907
274,"Batman: Rise of Sin Tzu",Bludwing,2112,"Role-playing",21,4881
275,"Batman: The Animated Series  ",Agagelv,2118,"Stealth-Action",6,74262
276,"Batman: The Brave and the Bold — The Videogame",Melar,2074,"God sim",6,28559
277,"Batman: The Caped Crusader",Kikree,2090,"Strategy RPG",12,53440
278,"Batman: The Enemy Within",Ballath,2094,"Adventure",18,93509
279,"Batman: The Telltale Series",Mazuzragore,2105,"Open Action",0,13016
280,"Batman: Toxic Chill",Stoneray,2115,"Arcade",0,65885
281,"Batman: Vengeance",Kerne,2009,"Arcade sport",21,51491
282,"Battle Brothers",Kazrajar,2005,"True RPG",14,82486
283,"Battle Bugs",Dawnwing,2086,"Extreme sport",6,92302
284,"Battle Carnival",Viran,2007,"Simulator",21,89393
285,"Battle Chasers: Nightwar",Zolosho,2094,"Eroge",6,19764
286,"Battle Chess",Mudi,2100,"TBS",18,96192
287,"Battle City",Moogurr,2113,"Hentai",12,54147
288,"Battle Engine Aquila",Periris,2093,"Co-op",14,48173
289,"Battle for Graxia",Adorari,2020,"Multiplayer online battle arena",0,93106
290,"Battle for Wesnoth",Malagar,2012,"Vehicular combat",0,48375
291,"Battle Girl High School",Snowseeker,2018,"Casual game",0,35388
292,"Battle Hunter",Ishnginn,2061,"Global Wargame",0,56961
293,"Battle Mania",Doomstaff,2021,"Zero Player Game",18,51447
294,"Battle Out Run",Adoghma,2012,"Battle Racing",6,67894
295,"Battle Realms",Wrathfang,2064,"Vehicle simulation",21,22692
296,"Battle Realms: Winter of the Wolf",Truthstalker,2113,"Shoot'em up",12,18065
297,"Battle Tank",Kelenin,2025,"Turn-based strategy",0,68100
298,"BattleBlock Theater",Morin,2088,"Racing",0,789
299,"Battleborn",Kigashura,2111,"First-Person",21,83489
300,"Battlefield 1",Doomterror,2032,"Fantasy",0,20805
301,"Battlefield 2",Ianzius,2099,"Simulation racer",14,34107
302,"Battlefield 2: Modern Combat",Mavemeena,2038,"TD",6,33461
303,"Battlefield 3",Anayarus,2026,"Zero Player Game",21,71738
304,"Battlefield 4",Perdred,2099,"CRPG",14,6556
305,"Battlefield 1942",Whiteseeker,2065,"Building",6,18724
306,"Battlefield 1942: Secret Weapons of WWII",Kijinn,2026,"Match 3",0,38760
307,"Battlefield 1942: The Road To Rome",Tojagal,2050,"Medetative",0,49802
308,"Battlefield 1943",Shadowstalker,2028,"Side-scroling shooter",21,42655
309,"Battlefield 2142",Lightfire,2068,"Board game",12,19624
310,"Battlefield Hardline",Nuarne,2049,"Logic",14,21715
311,"Battlefield Heroes",Granilanim,2077,"Death Racing",14,16348
312,"Battlefield Play4Free",Tojagal,2047,"Shoot'em up",6,33441
313,"Battlefield V",Kelenin,2083,"Cardgame",6,42448
314,"Battlefield Vietnam",Siranius,2098,"Side-scroller",0,97060
315,"Battlefield: Bad Company",Mazuzragore,2118,"OldSchool Action",14,60565
316,"Battlefield: Bad Company 2",Morlumand,2099,"Arcade",6,72359
317,"Battlefield: Bad Company 2 Vietnam",Alsariel,2030,"Artillery game",12,37281
318,"Battlefleet Gothic: Armada",Windwood,2002,"Social simulation game",0,48682
319,"BattleForge",Windwood,2033,"Zero Player Game",18,92396
320,"Battlefront (1986)",Nilalanim,2110,"Hero",14,78362
321,"Battlefront (2007)",Granilanim,2096,"Party game",21,98271
322,"Battleground 2: Gettysburg",Kazrakree,2081,"Sim Strategy",0,16815
323,"Battlemorph",Starfire,2061,"Top Down Shooter",14,38019
324,"Battles in Normandy",JoJorg,2085,"Adventure",14,42265
325,"Battles of Prince of Persia",Malalace,2004,"Co-op",14,37814
326,"BattleSphere",Yggrin,2000,"Battle Racing",18,49726
327,"Battlestar Galactica Online",Ananara,2004,"Action-adventure",21,91221
328,"Battlestations: Midway",Kazrakree,2109,"Action-RPG",21,33717
329,"Battlestations: Pacific",Doomterror,2111,"Computer Role-Playing Game",21,99711
330,"BattleTech (компьютерная   )",Whispermane,2033,"Cardgame",12,74649
331,"Battletoads",Anamath,2094,"Life Sim",12,34452
332,"Battletoads (   2020)",Peginn,2104,"Danmaku",18,74184
333,"Battletoads (Game Boy)",Conjurn,2000,"Global Strategy",0,69739
334,"Battletoads & Double Dragon",Marindis,2010,"Horror",0,23494
335,"Battletoads in Battlemaniacs",Basius,2105,"Spy",18,91624
336,"Battlezone (   1980)",Akikus,2027,"Battle Racing",6,70633
337,"Batty",Basius,2016,"Runner",21,87920
338,"Bayonetta",Migar,2094,"Espionage",14,5858
339,"Bayonetta 2",Agardana,2100,"Life Sim",21,56667
340,"BeamNG.drive",Thorne,2077,"Test",21,99277
341,"Beasts and Bumpkins",Faerisar,2100,"Microgame",6,4152
342,"Beat Angel Escalayer",Lairdana,2024,"Business",6,94721
343,"Beat Hazard",Muni,2013,"Indie game",14,75603
344,"Beat Saber",Saktilar,2030,"God sim",12,37522
345,"Beaterator",Ishnri,2030,"Real-time strategy",18,37318
346,"The Beatles: Rock Band",Drelalis,2115,"JRPG",6,91442
347,"Beatmania IIDX",Bonaya,2055,"Real-time 2D adventure",18,43997
348,"Beats of Rage",Moranin,2001,"Classic Quest",6,54399
349,"Beautiful Escape: Dungeoneer",Moogur,2033,"Quest",6,5010
350,"Beavis and Butt-head  ",Gavinrathis,2047,"Arcade racer",21,45356
351,"Beavis and Butt-head Do U.",Joron,2043,"Match 3",18,18522
352,"Beavis and Butt-head in Virtual Stupidity",Buridred,2074,"Hidden object",6,66301
353,"Beavis and Butt-head: Bunghole in One",Bludfont,2054,"DeathMatch",21,38779
354,"BECK: Mongolian Chop Squad",Drelalis,2026,"Education",0,19326
355,"Before Crisis: Final Fantasy VII",Kigashura,2063,"Metroidvania",14,1626
356,"The Beginner’s Guide",Kikree,2091,"RPG",21,19521
357,"Beglitched",Moranin,2110,"Programming game",12,67087
358,"Beholder  ",Zolotaxe,2097,"Cardgame",0,62186
359,"Beholder 2",Shaliris,2068,"Bullet Hell",18,10010
360,"Below",Daginn,2005,"Platformer 2D",6,14394
361,"Ben 10 Ultimate Alien: Cosmic Destruction",Thorgalv,2100,"FPS",6,99392
362,"Ben 10: Alien Force",Yorr,2099,"Zen",21,43743
363,"Ben 10: Protector of Earth",Cordann,2046,"Combat",0,84816
364,"Bendy and the Ink Machine",Monadar,2044,"Open world",14,43868
365,"Beneath a Steel Sky",Burilore,2086,"Dangeon Crawler",6,68975
366,"Beowulf  ",Nikorr,2068,"Runner",6,63502
367,"Berserk and the Band of the Hawk",Zulkigul,2105,"Interactive fiction",6,84611
368,"Bertie the Brain",Ishnginn,2013,"Strategy",21,8109
369,"Besiege",Runefire,2005,"Dangeon Crawler",21,82554
370,"Betrayal at Krondor",Moogur,2022,"Hentai",18,19689
371,"Between the Sky and Sea",Malaswyn,2031,"Computer Role-Playing Game",14,36911
372,"Beyond Castle Wolfenstein",Saktilar,2059,"Spy",6,36068
373,"Beyond Good & Evil",Bolace,2055,"Cardgame",21,42169
374,"Cabela’s Deer Hunt: 2005 Season",Tuhn,2058,"Horror",21,60027
375,"Cadence of Hyrule",Sterndweller,2020,"Competitive",6,65933
376,"Caesar  ",Doomstone,2089,"Management simulation",14,71693
377,"Caesar III",Morin,2078,"Extreme sport",6,83020
378,"Cake Mania",Nikoshura,2072,"Education",0,66763
379,"California Games",Lairdana,2028,"Vehicle simulation",21,59189
380,"Call of Cthulhu (   2018)",Celmeena,2106,"Trivia game",6,63885
381,"Call of Cthulhu: Dark Corners of the Earth",Chillwind,2092,"Fantasy",14,31142
382,"Call of Cthulhu: Destiny’s End",Nilalanim,2072,"Trivia game",6,98099
383,"Call of Cthulhu: Tainted Legacy",Tygrarana,2063,"Visual novel",0,66126
384,"Call of Cthulhu: The Wasted Land",Anayarus,2053,"Quest",6,69253
385,"Call of Duty",Kazrakree,2076,"Manager",0,69660
386,"Call of Duty 2",Marindis,2005,"Computer Role-Playing Game",21,12269
387,"Call of Duty 2: Big Red One",Gragrinn,2034,"MMOFPS",12,27404
388,"Call of Duty 3",Dawnwing,2080,"Medetative",12,52940
389,"Call of Duty 4: Modern Warfare",Lightfire,2026,"Hunting",12,79410
390,"Call of Duty 4: Modern Warfare (Nintendo DS)",Perilbine,2017,"Wargame",12,89627
391,"Call of Duty: Advanced Warfare",Mezirn,2115,"Mass action",18,91878
392,"Call of Duty: Black Ops",Stoneray,2079,"Multiplayer online battle arena",0,77462
393,"Call of Duty: Black Ops – Cold War",Arcaneworm,2029,"Third-person action",21,7691
